id,userName,userImage,date,score,scoreText,url,title,text,replyDate,replyText,version,thumbsUp,criterias,positive_review,negative_review,positive_review_keywords,negative_review_keywords,topic,topic_probability,topic_name
9e31e6b7-605a-4b6b-9146-5a17644ba6b8,シュン,https://play-lh.googleusercontent.com/a/ACg8ocJBvaPNpUVqcfoPBBGqS4j40FTILj_qOvlZSZGFC3PkOMACpg=mo,2024-11-23T14:01:42.496Z,1,1,https://play.google.com/store/apps/details?id=jp.wifishare.townwifi&reviewId=9e31e6b7-605a-4b6b-9146-5a17644ba6b8,,インストール済みアプリの広告動画で✕ボタンを押しそこねた場合、そのアプリが起動するのが凄く邪魔 しかも、どうやらそれが仕様らしい？ それならそれで、✕ボタン表示されるまで視聴したなら、その時点でスタンプ取得出来るようにするべきでは このせいで一個のスタンプ取得するのに5、6回動画見る羽目になったりして、イライラする 酷い時はそのアプリの動画が出なくなるまで繰り返しと言うことも少なくない 対象のアプリが以前からやってるゲームだから消さないけど、そうじゃなければ即消ししてるレベル 追記 回答するなら、少し位アクション起こしたらどうなん？ 広告によっては動画からアプリ起動→戻って来たら視聴済扱いになってるものもあるから、出来なくは無いのだろうに,2024-09-16T08:11:04.465Z,"いつもアプリをお使いいただき、ありがとうございます。
動画広告について、貴重なご意見を頂きありがとうございます。
頂いたご意見をもとにサービスの改善に努めてまいります。
今後とも、タウンWiFiをよろしくお願いいたします。",9.6.2,70,[],-,- インストール済みアプリの広告動画で✕ボタンを押しそこねるとそのアプリが起動し、これが非常に邪魔。,[],"['インストール', '済み', 'アプリ', '広告', '動画', 'ボタン', '押し', 'そこねる', 'アプリ', '起動', 'し', 'これ', '非常', '邪魔']",6,0.8286863535501281,6_アプリ_こと_表示_停止
052823d1-61ed-4374-8a70-348fd02cd274,Asami Shikata,https://play-lh.googleusercontent.com/a/ACg8ocKKqtoKsZb5Qw04t_PHwzBDNdPEiaIqo73hCQJpday4A7DKYA=mo,2024-11-23T11:00:06.814Z,3,3,https://play.google.com/store/apps/details?id=jp.wifishare.townwifi&reviewId=052823d1-61ed-4374-8a70-348fd02cd274,,9.6.2 指摘した問題案件の改善されず。( 9.5.0 地図は表示される様になった、でも、リストをタップしてもその場所は非表示(=Google マップが拒否)。) ( 9.2.2 周辺WiFi で地図を表示してもらえない。) ( 4.6.1 試用),2024-10-29T06:47:35.118Z,"いつもアプリをお使いいただき、ありがとうございます！
地図のリストをタップしても非表示になる状況とのこと、ご報告を頂きましてありがとうございます。ご不便おかけし申し訳ございません。

アプリおよび、端末の再起動をお試しいただき、改善されないか、再度ご確認いただけますと幸いです。
お手数おかけして申し訳ございませんが、よろしくお願いいたします！

上記で解決しない場合には、下記手順にてアプリ内よりご連絡をお願いできれば幸いです！
【チャットお問い合わせ手順】その他→ヘルプ→キーワード入力→記事を選択→解決しなかった→記事を選択→送信→「今すぐ有人オペレーターと会話したい」をタップ
（平日10:00-17:00は有人オペレーターにて対応）",9.6.2,1,"[{'criteria': 'vaf_never_display_disruptive_ads', 'rating': 3}, {'criteria': 'vaf_phase1_social_sign_in', 'rating': 3}, {'criteria': 'vaf_phase1_read_receipts', 'rating': 3}]",-,- 指摘した問題が改善されていない,[],"['指摘', 'し', '問題', '改善', 'さ', 'れ', 'い']",-1,0.0,-1_いる_不満_こと_ポイント
2bd1806d-3415-4ac6-9db2-70800303fc48,酒井雄太,https://play-lh.googleusercontent.com/a-/ALV-UjVNtCg2bo803Jd413_9L_ELeGk6MAxwjiHUntz5McREPZkd9gGe,2024-11-22T21:54:44.660Z,4,4,https://play.google.com/store/apps/details?id=jp.wifishare.townwifi&reviewId=2bd1806d-3415-4ac6-9db2-70800303fc48,,Wi-Fiがある場所で自動的に接続できるので便利だと思います。,,,,0,[],Wi-Fiがある場所で自動的に接続できるので便利。  ,-,"['Wi-Fi', 'ある', '場所', '自動的', '接続', 'できる', '便利']",[],0,0.9178073606555357,0____
62bedb1c-1dd6-4807-8544-a04ceda38826,菅原金二郎,https://play-lh.googleusercontent.com/a/ACg8ocK7TOCUIpXeHFF87SZi-9rTbPAv3VSdk07xoX5nJ10GYrVUmw=mo,2024-11-22T20:53:26.341Z,2,2,https://play.google.com/store/apps/details?id=jp.wifishare.townwifi&reviewId=62bedb1c-1dd6-4807-8544-a04ceda38826,,CMが多い ５秒から30秒動画が流れます,,,9.6.2,0,[],-,CMが多く、5秒から30秒の動画が流れる,[],"['CM', '多く', '5秒', '30秒', '動画', '流れる']",2,0.7843449862214131,2_動画_再生_視聴_ポイント
f67f4c45-f19c-4f7b-b792-6c703bb05915,みかん,https://play-lh.googleusercontent.com/a/ACg8ocIOLIGspcSHByHwdQQxQmeJBSveboF9N6PUNHJdiPPj-LrK-A=mo,2024-11-22T20:23:41.626Z,5,5,https://play.google.com/store/apps/details?id=jp.wifishare.townwifi&reviewId=f67f4c45-f19c-4f7b-b792-6c703bb05915,,モバイルスマホを使っていますが、ネット回線が無くてもGMOWiFiで問題なく 検索やネット回線が使用できます。,2024-11-25T01:08:32.912Z,"いつもアプリをお使いいただき、ありがとうございます！

外出時のWiFi利用にお役立ていただけているとのこと、ありがとうございます♪
是非色々なスポットで、たくさんWiFi接続して、広告動画もご視聴いただき、ポイントを貯めて交換してみてくださいね＾＾

今後とも、タウンWiFiをよろしくお願いいたします！",9.6.2,0,[],ネット回線が無くてもGMOWiFiで問題なく検索やネット回線が使用できるところ。,-,"['ネット', '回線', '無く', 'GMOWiFi', '問題', '検索', 'ネット', '回線', '使用', 'できる', 'ところ']",[],0,0.9067807474012942,0____
8fa26669-b3ca-4e90-81ca-f172bcdd8d7b,13gogo dakara,https://play-lh.googleusercontent.com/a-/ALV-UjWvunBffrit_8WbPeN2Yj8dRit1Z7z5jC7SNwqt0y9lDBeTbpY,2024-11-22T09:01:37.645Z,3,3,https://play.google.com/store/apps/details?id=jp.wifishare.townwifi&reviewId=8fa26669-b3ca-4e90-81ca-f172bcdd8d7b,,CM動画の‪✕‬をタップしても、次々と別のCW動画へ遷移。 8本ほど連続再生された後に読み込めませんでしたのアプリ画面が表示されポイントの付与はなし。 再起動や広告ID削除をしても変わらず。 稀な不具合にしても悪質。,2024-11-25T01:00:01.334Z,"動画広告に関し、ご不便をおかけし申し訳ございません。
別のお客様からも同様のお問い合わせをいただいており、調査・対応中でございます。

根本的原因の調査にあたり、詳しい状況提供にご協力いただける場合、アプリ内よりご連絡をお願いできれば幸いです。

【お問い合わせ手順】
その他→ヘルプ→キーワード入力→記事を選択→解決しなかった→記事を選択→送信→「今すぐ有人オペレーターと会話したい」をタップ
（平日10-17時は有人オペレーターが対応）

大変恐縮ですが、改善まで今しばらくお待ちいただけますと幸いです。
それまではアプリ・端末の再起動などをおこなっていただき、お時間をおいて再度動画広告の視聴をお試しくださいませ。
ご迷惑をおかけしておりますことを、重ねてお詫び申し上げます。",9.6.2,2,[],-,- CM動画の‪✕‬をタップしても別のCW動画へ遷移する。,[],"['CM', '動画', 'タップ', 'し', '別', 'CW', '動画', '遷移', 'する']",2,0.9795966284552322,2_動画_再生_視聴_ポイント
317504c3-fad0-40f8-86e5-b7578205e4c6,uvCat Dorothy,https://play-lh.googleusercontent.com/a-/ALV-UjWgS_kxcBxNAqBVTHqayczuKt7KbLNxxApo9JFb5BwzpMMKm4_J,2024-11-22T08:55:51.840Z,2,2,https://play.google.com/store/apps/details?id=jp.wifishare.townwifi&reviewId=317504c3-fad0-40f8-86e5-b7578205e4c6,,普通のポイントアプリなんですが、広告のチェックが甘いです。終了しない悪質な広告や猥褻なアプリの広告が野放しです。それと散々広告を見せられたあと通信が切れてシレッとポイントをなかったことにする仕様は勘弁してほしいです。,2024-11-25T00:58:45.200Z,"いつもアプリをお使いいただき、ありがとうございます！

動画広告に関し、ご不便をおかけし申し訳ございません。

広告の内容や掲載可否については代理店に一任しております。
ご不便をおかけいたしますが、不快な広告だと感じられた場合は、スクリーンショットを撮影いただき、アプリ内より問い合わせ情報をお送りいただけないでしょうか。
該当する広告の調査を進めさせていただきます！
大変お手数かけて申し訳ございません。何卒よろしくお願いいたします。",9.6.2,1,"[{'criteria': 'vaf_phase1_paid_stickers', 'rating': 2}, {'criteria': 'vaf_phase1_gif_support', 'rating': 2}, {'criteria': 'vaf_phase1_voice_messaging', 'rating': 2}]",-,- 広告のチェックが甘く、終了しない悪質な広告や猥褻なアプリの広告が表示される。,[],"['広告', 'チェック', '甘く', '終了', 'し', '悪質', '広告', '猥褻', 'アプリ', '広告', '表示', 'さ', 'れる']",1,1.0,1_広告_れる_表示_多く
a1a96343-5847-4009-885a-55e1852eea3f,渡辺由香里,https://play-lh.googleusercontent.com/a/ACg8ocIAiz_tACUJp3wwwuUWv9mHp4f6hqaByVtkeT8piEx6AUu0ddYu=mo,2024-11-22T08:39:14.274Z,2,2,https://play.google.com/store/apps/details?id=jp.wifishare.townwifi&reviewId=a1a96343-5847-4009-885a-55e1852eea3f,,ポイントが貯まって交換申請を出しても交換するにもすぐじゃ無いし 申請してからいつになったら交換出来るんですか? Pontaポイントに交換申請したのに 全然反映もされないし 申請したんだから早く交換出来るようにして下さい‼️ はっきり言って遅すぎます,2024-11-25T00:57:44.167Z,"いつもアプリをお使いいただき、ありがとうございます！
ポイント交換申請後に、ポイント付与までお日にちがかかるとのことで、申し訳ございません。
貴重なご意見を頂きありがとうございます。
頂いたご意見をもとにサービスの改善に努めてまいります。
今後とも、タウンWiFiをよろしくお願いいたします！

～～タウンWifiでは、有人オペレーターによるチャットサポートを行っております～～
（平日10:00-17:00は有人オペレーターにて対応）

その他→ヘルプ→キーワード入力→記事を選択→解決しなかった→記事を選択→送信→「今すぐ有人オペレーターと会話したい」をタップ

ぜひご利用ください！",9.6.2,0,[],-,- ポイント交換がすぐにできない,[],"['ポイント', '交換', 'でき']",4,0.6061024154643492,4_ポイント_交換_不満_こと
91507693-c624-4025-a205-1a58abaa1757,HIDEUKI,https://play-lh.googleusercontent.com/a/ACg8ocIRXyR4Hdy463VO0g5W8FX0RvtaGZecu5o-e_qxqCG84e9Xzw=mo,2024-11-22T02:14:22.851Z,5,5,https://play.google.com/store/apps/details?id=jp.wifishare.townwifi&reviewId=91507693-c624-4025-a205-1a58abaa1757,,とても良いですね‼️,2024-11-25T00:56:19.819Z,"いつもアプリをお使いいただき、ありがとうございます！

どの機能が良いかなど、また具体的におうかがいできますと幸いです♪
ポイントをたくさん貯めて、お好きなポイントに交換してみてくださいね～！

今後とも、タウンWiFiをよろしくお願いいたします！",9.6.2,0,[],とても良いですね‼️  ,-,['良い'],[],0,0.8857743042525604,0____
26437132-632f-4cd3-82bd-e02c67286457,りんのりん,https://play-lh.googleusercontent.com/a-/ALV-UjWjCYWDf6VEgY-obivIPibYsvizQ6XFXoNXzo6QvClK7COa3yR1,2024-11-22T00:31:14.940Z,2,2,https://play.google.com/store/apps/details?id=jp.wifishare.townwifi&reviewId=26437132-632f-4cd3-82bd-e02c67286457,,広告閉じるのに何回も押さないと広告によっては閉じれない。と書いたけど、閉じれないは正確では無い。押すたび広告サイトに移動するが正確。,2024-11-21T23:41:53.438Z,"ご意見あリがとうございます。タウンWiFiではなるべく短い時間で動画がスキップできることを優先しているのですが、その結果、閉じるを何度も押さないといけないということになっております。
なので決して嫌がらせではないのをご理解いただければと思います。
とはいえ、何度も押すのは面倒だと思いますので、より体験の良い広告が出るよう少しずつ改善していければと考えております。引き続きよろしくお願いします。",9.6.2,3,[],-,広告を閉じるのに何回も押さないといけない。広告によっては押すたびに広告サイトに移動してしまう。,[],"['広告', '閉じる', '何回', '押さ', 'いけ', '広告', '押す', 'たび', '広告', 'サイト', '移動', 'し', 'しまう']",1,0.9204926602455101,1_広告_れる_表示_多く
